n_estimators,num_leaves,learning_rate,k,accuracy,precision_1,recall_1,profit_1,max_drawdown_1,precision_0,recall_0,profit_0,max_drawdown_0
50,5,0.05,1,0.3734000266266,0.40939082399877247,0.5388266181965061,0.2576429683832089,-41.14540066251076,0.33801063709403645,0.4644449051518607,-0.5516659378527278,-62.06409928215863
50,5,0.05,2,0.3720686966279313,0.35969205060873716,0.6086034534989397,0.0281483063642618,-40.41878609065677,0.3938217863324068,0.38918834870944335,-0.6368701841183251,-66.62251750633455
50,5,0.05,3,0.37231594362768405,0.36594615092908606,0.68211653034434,0.6699548606553538,-34.56518979958398,0.38733158802119916,0.31439825852596665,-0.38843272776805826,-46.956555856843266
50,5,0.05,4,0.37454116662545883,0.36705351561438315,0.681864081591437,0.8869253174447798,-39.87129106715008,0.39199290510578993,0.32072146781382815,-0.30577653254172654,-36.39620528268228
50,5,0.05,5,0.4036402365963598,0.40156935946627953,0.5865394324952035,0.7225319346720114,-33.29681616667677,0.40617336152219874,0.4978749870426039,-0.4083978903676876,-57.62423276020529
50,5,0.05,6,0.40314574259685426,0.4009406231628454,0.585378168231849,0.7604536949454515,-30.810957893517102,0.40584058828501396,0.4977194982896237,-0.39523748504540146,-56.31940870305985
50,5,0.05,7,0.4032027995967972,0.40108960476448297,0.5984550136322326,0.6408112360377001,-34.419178314350276,0.40591479567464284,0.4844511247019799,-0.43478372135786225,-58.41790655246861
50,5,0.05,8,0.40333593259666406,0.40158340158340156,0.5941633848328789,0.5292318816081767,-31.38874927389511,0.40554242749731473,0.4892194464600394,-0.47407113938974865,-58.79914168248999
50,5,0.05,9,0.4042298255957702,0.40245561526426776,0.59744521862062,0.8812608365442227,-29.720318159679252,0.40648056262674204,0.48828651394215816,-0.3504136174651393,-52.54897645460104
50,5,0.05,10,0.4039065025960935,0.4021131768769684,0.599515298394426,0.9429957724463884,-29.982074675471743,0.4062039045553145,0.48528039805120765,-0.3288078772917251,-54.61781974145405
50,5,0.05,11,0.40352612259647386,0.40203692349615094,0.5959305261032011,0.6596236939171976,-32.522281729572065,0.40540889711898714,0.48792370685187103,-0.42716920831726335,-55.716536070176275
50,5,0.05,12,0.4041157115958843,0.4022220707518233,0.5958800363526204,0.807221157393238,-30.212002391281345,0.4065068640530189,0.48958225355032653,-0.37512006941095444,-51.883614412049226
50,5,0.1,1,0.3732668936267331,0.4168484728282428,0.42446733313137436,0.504333352814486,-28.98368744859313,0.34614791274567275,0.5814761065616254,-0.4862137813091334,-58.795798927379074
50,5,0.1,2,0.37328591262671407,0.36039124139357587,0.6157729980813895,0.2240828099404959,-36.50133674739397,0.39657380723663144,0.3851456411319581,-0.5737638044358593,-60.96999819660148
50,5,0.1,3,0.3727533806272466,0.36651979808000934,0.6342017570433202,0.36290933396007974,-42.02117065322448,0.3844221105527638,0.3647766144915518,-0.5100066348192234,-60.61989176700907
50,5,0.1,4,0.37492154662507843,0.36913674113931455,0.6373321215793194,0.787541517452246,-31.355559674625635,0.38568242397867597,0.36747175287654193,-0.3560075492290474,-48.7041255159063
50,5,0.1,5,0.40310770459689227,0.40158367059651595,0.5761385438755933,0.9670955802216705,-30.791694762673917,0.4048998510180434,0.5071006530527625,-0.32454284558551405,-53.35065645947485
50,5,0.1,6,0.4030886855969113,0.401783187093122,0.5733616075936585,1.0504887619557648,-29.867879477778416,0.4046062101583385,0.5098994506064062,-0.2975402031097799,-53.36465336699503
50,5,0.1,7,0.4032218185967782,0.40143920075453243,0.5802282136726244,0.7462751954917122,-29.854904015267934,0.40535237140948566,0.5032134342282575,-0.40104374725316605,-57.61497711077862
50,5,0.1,8,0.4031837805968162,0.40166571346868746,0.5673533272745632,0.7440335924286352,-28.934692660315193,0.4049099703288217,0.5163263190629211,-0.4039353140278127,-54.0675017409017
50,5,0.1,9,0.4040015975959984,0.4052365159713737,0.5860850247399778,0.943243581350119,-29.741970879151623,0.4025236065847748,0.49932621540375244,-0.3310374685104802,-52.996083934326435
50,5,0.1,10,0.4036402365963598,0.4022487844408428,0.6014843986670706,1.0472805299721757,-29.776398705122332,0.4054348299438227,0.48253343008189076,-0.2893641932149764,-50.77358008012697
50,5,0.1,11,0.4032027995967972,0.40255362614913176,0.5969403211148137,0.8753765591126461,-35.872085062523425,0.40402430091774744,0.4860060122317819,-0.3496000744356891,-52.86044479993011
50,5,0.1,12,0.40343102759656896,0.40319608697108783,0.6076441482379077,0.6793080054943712,-35.745290916791475,0.4037395512538495,0.47564009536643514,-0.4153471837717363,-53.457040203238776
50,5,0.2,1,0.3735331596264668,0.4181846012551661,0.41381399575886096,1.0141356806787751,-19.83062559847187,0.3469981807155852,0.5931377630351404,-0.31796134056267444,-42.670018500680925
50,5,0.2,2,0.3729816086270184,0.36358951233653286,0.5699283045541755,-0.015496547358336832,-34.25627077580719,0.38652301119212373,0.4313776303514046,-0.663364227271258,-70.30225329998477
50,5,0.2,3,0.37313376062686626,0.36560735602516536,0.5721498535797234,0.1793423957206195,-32.32197833675269,0.38394180874722017,0.42951176531564217,-0.5900362020692438,-65.3635610509714
50,5,0.2,4,0.3745031286254969,0.36805968178517195,0.5629607189740483,0.2651621164180802,-32.03409271478,0.3833310892688838,0.44267647973463253,-0.5646206585021234,-66.98021625949202
50,5,0.2,5,0.40149108959850893,0.40030771382614166,0.5780066646470766,0.44804243965158075,-33.61419085637493,0.40290229765230806,0.500777443764901,-0.5053146843904568,-61.822987861876946
50,5,0.2,6,0.4012818805987181,0.40142796248934354,0.5705846713117237,0.27995966234569947,-33.53786816001153,0.4005835936215683,0.5051829584326734,-0.5712092755645308,-67.16111777604704
50,5,0.2,7,0.4028224195971776,0.3992979074889868,0.585782086236494,0.8747460026442113,-28.55047519249691,0.4064929517300299,0.4932103244531979,-0.3739738994399726,-56.868911971647314
50,5,0.2,8,0.4034500465965499,0.40387204774555113,0.5603352519438554,0.9230852641672487,-31.905543448,0.4028011878962999,0.5202135378874262,-0.34978284388783654,-54.95536128643781
50,5,0.2,9,0.40162422259837577,0.40368621370171975,0.5783600929011411,0.7431010744188808,-34.963050030281394,0.39915566408675135,0.4998445112470198,-0.41091768818111296,-56.523256081626364
50,5,0.2,10,0.4012438425987562,0.4022452201368181,0.578915480157528,0.9975610857462653,-32.38364917596523,0.39982542189708203,0.4985487716388515,-0.3207526324758079,-54.033650490369375
50,5,0.2,11,0.40274634359725364,0.4023731703851073,0.5718469150762395,0.39516263379419025,-32.1104535059198,0.4024350115169464,0.5071006530527625,-0.5310298836678309,-65.45217232840612
50,5,0.2,12,0.401395994598604,0.40202253481699207,0.5800767444208825,0.2746028237567366,-39.27174011853356,0.40050913947082883,0.4974085207836633,-0.5673763502812204,-65.47072748377886
50,20,0.05,1,0.3735331596264668,0.4152991000529381,0.4753105119660709,0.4826090678474457,-34.09488656432329,0.34188091337634985,0.5300093293251789,-0.48037802563771126,-60.23463394691408
50,20,0.05,2,0.37180243062819757,0.3604894314456878,0.6440977481571241,0.1696162777930137,-42.388255513954036,0.39509045430748646,0.35202653674717527,-0.5928006825776084,-68.4018619606683
50,20,0.05,3,0.37005268262994734,0.3971700198982976,0.4534989397152378,-0.20903715696496905,-36.49980976145118,0.34958617007075155,0.5429148958225355,-0.7252549558339754,-76.20600035037941
50,20,0.05,4,0.37052815762947183,0.38517934568387857,0.4933858426739372,0.15319029613537727,-29.860652424577562,0.35686721305450403,0.5032652638125842,-0.6007284521487444,-71.36045672236061
50,20,0.05,5,0.3995891896004108,0.3972617783797635,0.5479147733010199,0.824817802846783,-25.015222242667043,0.40210592985511834,0.5264849175909609,-0.3765294190386611,-63.56568227631413
50,20,0.05,6,0.40074934859925065,0.3982591376830303,0.5451883267696658,0.7923617247667618,-28.007285709940057,0.4034006125814812,0.5324453197885353,-0.38885242514641405,-60.17025507474615
50,20,0.05,7,0.4009015005990985,0.3976891805149419,0.5630616984752095,0.5588148190065294,-29.67627406069755,0.4045726861474508,0.5145122836114855,-0.4664731064625033,-58.74282779675749
50,20,0.05,8,0.40145305159854694,0.39768941810192077,0.5665959810158537,0.7391535447701012,-31.004539288295117,0.4058125692705554,0.5123872706540894,-0.4063176396372157,-55.21282386433945
50,20,0.05,9,0.4019665645980334,0.3980685182574369,0.5702312430576593,1.0174769836696784,-25.442200670376472,0.4065352997066964,0.5100549393593863,-0.31571069677239016,-46.73683153106985
50,20,0.05,10,0.40181441259818557,0.3985953200514586,0.5788145006563667,0.93604667296932,-27.2796902068223,0.4056766175420918,0.500777443764901,-0.334281544810619,-50.43439978960503
50,20,0.05,11,0.40236596359763405,0.40232384075275335,0.5699283045541755,0.9704184095079882,-28.03500023011415,0.4024141587146236,0.5114543381362081,-0.32390310212963647,-54.417480502513364
50,20,0.05,12,0.40152912759847087,0.3994543070762907,0.569170958295466,0.9219243186343697,-24.263823423267148,0.4039329994252402,0.5099512801907329,-0.3383805188530905,-53.47194556380082
50,20,0.1,1,0.3727153426272847,0.41587665901606624,0.4208320710895688,0.5111723447462642,-31.294538627987748,0.3461290223437932,0.5837047786876749,-0.48248036096761393,-58.968766275017494
50,20,0.1,2,0.37454116662545883,0.36597233264429957,0.5810360496819146,0.8343154859939994,-27.637474364713587,0.38729062174694806,0.42422514771431535,-0.3709108203011994,-47.44420730745085
50,20,0.1,3,0.3732668936267331,0.36626339667302255,0.5625063112188226,0.1267837915391472,-33.30207417268154,0.3828798339425116,0.4397740230123354,-0.6086739706829853,-65.19420033399214
50,20,0.1,4,0.3709846136290154,0.38626387813064805,0.453196001211754,0.10310807938698496,-35.33797707075303,0.3588957055214724,0.5457655229605058,-0.6215871496766316,-73.48356063587342
50,20,0.1,5,0.40084444359915555,0.39637079142982073,0.5492275068161163,1.0623405475388141,-27.93191992521647,0.40537518469709677,0.5261221105006738,-0.3169396858135448,-53.21803249916476
50,20,0.1,6,0.39983643660016355,0.39677407502663775,0.5452388165202464,1.1720466108469187,-26.114486485727753,0.40316345850426,0.5297501814035451,-0.26000365965424554,-49.84766940666557
50,20,0.1,7,0.3993039046006961,0.3948688752090524,0.5602847621932747,0.6080399811698192,-25.757414138599714,0.4039075940034407,0.511091531045921,-0.4422602087606331,-60.809585424555934
