n_estimators,num_leaves,learning_rate,k,threshold,profit_1,max_drawdown_1,profit_0,max_drawdown_0
50,5,0.05,9,0.39999999999999997,0.8144833974841305,,-0.016948711437589692,-2.636142497196009
50,5,0.05,9,0.44999999999999996,0.5911082188108063,,-0.24032389011091382,-25.29268371808576
50,5,0.05,9,0.49999999999999994,0.23958795121474163,-23.228033166190595,-0.5918441577069785,
50,5,0.05,9,0.5499999999999999,0.16211662280229244,-15.494069873846195,-0.6693154861194277,
50,5,0.05,9,0.5999999999999999,0.09014960075181933,-2.2739966229286863,-0.7412825081699008,
50,5,0.05,9,0.6499999999999999,0.0,0.0,-0.8314321089217201,
50,5,0.05,10,0.35,0.8314321089217201,,-0.0,0.0
50,5,0.05,10,0.39999999999999997,0.7858980413135119,,-0.04553406760820822,-6.928294906532251
50,5,0.05,10,0.44999999999999996,0.6928247443661592,-29.757784253493195,-0.138607364555561,
50,5,0.05,10,0.49999999999999994,0.6752841416573777,-15.922463601272893,-0.15614796726434244,
50,5,0.05,10,0.5499999999999999,0.33133463826299714,-8.138905590907822,-0.500097470658723,
50,5,0.05,10,0.5999999999999999,0.012523891615650706,-2.798139809456189,-0.8189082173060694,
50,5,0.05,10,0.6499999999999999,0.0,0.0,-0.8314321089217201,
50,5,0.05,11,0.35,0.8314321089217201,,-0.0,0.0
50,5,0.05,11,0.39999999999999997,0.834101729774073,,0.002669620852352894,-1.089691340376031
50,5,0.05,11,0.44999999999999996,0.5585733597273552,-29.402594019365477,-0.2728587491943649,
50,5,0.05,11,0.49999999999999994,0.5038783870999849,-19.585873909067963,-0.32755372182173526,
50,5,0.05,11,0.5499999999999999,0.2454782349426844,-10.214417307825077,-0.5859538739790358,
50,5,0.05,11,0.5999999999999999,-0.027311827948105494,-4.163350973456935,-0.8587439368698256,
50,5,0.05,11,0.6499999999999999,0.0,0.0,-0.8314321089217201,
50,5,0.05,12,0.35,0.8314321089217201,,-0.0,0.0
50,5,0.05,12,0.39999999999999997,0.8098635890858609,,-0.02156851983585928,-3.4823385042104693
50,5,0.05,12,0.44999999999999996,0.6797322641066071,-36.33453896725995,-0.151699844815113,
50,5,0.05,12,0.49999999999999994,0.46858808043150013,-18.496390180853577,-0.36284402849022,
50,5,0.05,12,0.5499999999999999,0.4917994852985106,-8.13890559090782,-0.33963262362320956,
50,5,0.05,12,0.5999999999999999,0.10449364819157347,-6.903525270423322,-0.7269384607301467,
50,5,0.05,12,0.6499999999999999,0.0,0.0,-0.8314321089217201,
