n_estimators,num_leaves,learning_rate,k,threshold,profit_1,max_drawdown_1,profit_0,max_drawdown_0
50,5,0.05,1,0.35,1.0578850102669497,-23.813837279328702,0.0,0.0
50,5,0.05,1,0.39999999999999997,1.0578850102669497,-23.813837279328702,0.0,0.0
50,5,0.05,1,0.44999999999999996,1.1080648905446986,-24.351450721441072,-0.0015669565219926795,-9.16795137699996
50,5,0.05,1,0.49999999999999994,0.4419096062663581,-19.316057980758455,-0.3547288196373215,-48.47631722904152
50,5,0.05,1,0.5499999999999999,0.1638977388503573,-4.644484115985382,-0.5259265649236504,-59.60221327601778
50,5,0.05,1,0.5999999999999999,0.08488184550934075,-1.4604712165227962,-0.560822712463649,-64.1824472318859
50,5,0.05,1,0.6499999999999999,0.08488184550934075,-1.4604712165227962,-0.560822712463649,-64.1824472318859
50,5,0.05,2,0.35,1.0578850102669497,-23.813837279328702,0.0,0.0
50,5,0.05,2,0.39999999999999997,1.0578850102669497,-23.813837279328702,0.0,0.0
50,5,0.05,2,0.44999999999999996,0.9121810025410013,-24.343347342116807,-0.09650110493816066,-17.804547732908162
50,5,0.05,2,0.49999999999999994,0.36644823612554944,-19.240185728680114,-0.38756874835808375,-51.339182170853874
50,5,0.05,2,0.5499999999999999,0.1638977388503573,-4.644484115985382,-0.5259265649236504,-59.60221327601778
50,5,0.05,2,0.5999999999999999,0.08395753338944356,-1.4604712165227962,-0.5611536942220978,-64.18244723188602
50,5,0.05,2,0.6499999999999999,0.08488184550934075,-1.4604712165227962,-0.560822712463649,-64.1824472318859
50,5,0.05,3,0.35,1.0578850102669497,-23.813837279328702,0.0,0.0
50,5,0.05,3,0.39999999999999997,1.0578850102669497,-23.813837279328702,0.0,0.0
50,5,0.05,3,0.44999999999999996,1.3772732488989101,-24.10555366847351,0.1299791874682421,-7.211585461443337
50,5,0.05,3,0.49999999999999994,0.5503950062244345,-18.900340911442687,-0.3076552081907874,-47.32263247922332
50,5,0.05,3,0.5499999999999999,0.23084164614662317,-6.502739582165773,-0.4980510636045441,-56.894929025047354
50,5,0.05,3,0.5999999999999999,0.07864695812916866,-1.3521819299323903,-0.5632530091522001,-64.01916329482312
50,5,0.05,3,0.6499999999999999,0.08067247640970687,-1.4604712165227962,-0.5625333688778495,-64.18244723188597
50,5,0.05,4,0.35,1.0578850102669497,-23.813837279328702,0.0,0.0
50,5,0.05,4,0.39999999999999997,1.3120994244475406,-26.35542031411091,0.10809797976541868,-4.365030770103251
50,5,0.05,4,0.44999999999999996,1.1978087872771126,-25.54791319280908,0.04921746189756515,-7.119087601720997
50,5,0.05,4,0.49999999999999994,0.218784640193324,-24.53446035654973,-0.460387988317408,-52.64423822051654
50,5,0.05,4,0.5499999999999999,-0.0202935258391429,-6.543206709189303,-0.6000917115362874,-65.75353493144316
50,5,0.05,4,0.5999999999999999,-0.027174645117442386,-8.820516647808352,-0.6047415382073955,-66.08652468686451
50,5,0.05,4,0.6499999999999999,0.07865883486225766,-0.2609830361026577,-0.563525433667946,-64.68833997233331
50,5,0.05,5,0.35,1.0578850102669497,-23.813837279328702,0.0,0.0
50,5,0.05,5,0.39999999999999997,1.2926771961027996,-24.63789411285689,0.10092193013201745,-1.312018750167443
50,5,0.05,5,0.44999999999999996,0.8424944842504529,-28.802012813385414,-0.12432914318280797,-23.161359145944385
50,5,0.05,5,0.49999999999999994,0.5042003079536488,-23.840198359695552,-0.3203806811728067,-41.75797851961016
50,5,0.05,5,0.5499999999999999,-0.09336025784997115,-14.658098927796681,-0.6292371922392686,-66.92976714662869
50,5,0.05,5,0.5999999999999999,0.022230613384357722,-3.4874902772580207,-0.5859466894375833,-65.08514294940422
50,5,0.05,5,0.6499999999999999,0.03846598680259938,-0.4248308913461252,-0.5799387401991667,-65.45531203047963
50,5,0.05,6,0.35,1.0578850102669497,-23.813837279328702,0.0,0.0
50,5,0.05,6,0.39999999999999997,1.2361960598978863,-27.497113700181735,0.07110688839938906,-7.809920353129418
50,5,0.05,6,0.44999999999999996,0.9808709118757293,-27.84052798672374,-0.05936008373725188,-17.215469247771395
50,5,0.05,6,0.49999999999999994,0.4353031398774434,-25.160663151509095,-0.35290733378072847,-44.04176998002138
50,5,0.05,6,0.5499999999999999,-0.07767995240476688,-17.223437917666242,-0.6237839953370721,-66.64327875092881
50,5,0.05,6,0.5999999999999999,0.06777297832866491,-1.804833697321634,-0.5677733587055487,-64.76179839026247
50,5,0.05,6,0.6499999999999999,0.049334979459200845,-0.9843473102979802,-0.5754278320936255,-65.08514294940414
50,5,0.05,7,0.35,1.0578850102669497,-23.813837279328702,0.0,0.0
50,5,0.05,7,0.39999999999999997,1.324056200364292,-26.704321378330132,0.1136570774785175,-4.660158853356034
50,5,0.05,7,0.44999999999999996,1.025306822135481,-27.046885406802076,-0.03848499211424661,-14.273293117836602
50,5,0.05,7,0.49999999999999994,0.7816418312521034,-23.940617447715166,-0.1954081325546051,-29.693806528421675
50,5,0.05,7,0.5499999999999999,0.048639490185544476,-6.528401677899766,-0.5719506504349865,-64.1206771438589
50,5,0.05,7,0.5999999999999999,0.05035443745051604,-1.2698994057805346,-0.5749366239111154,-65.25847306021764
50,5,0.05,7,0.6499999999999999,0.049334979459200845,-0.9843473102979802,-0.5754278320936255,-65.08514294940414
50,5,0.05,8,0.35,1.0578850102669497,-23.813837279328702,0.0,0.0
50,5,0.05,8,0.39999999999999997,1.4289597381570363,-24.057572449272605,0.16425048747866833,-1.5553590247364024
50,5,0.05,8,0.44999999999999996,1.1933557110222561,-26.939770802110466,0.041785686409347544,-9.83266094079537
50,5,0.05,8,0.49999999999999994,0.8241590900569402,-24.177646054034422,-0.17487969497268074,-29.212846643676233
50,5,0.05,8,0.5499999999999999,0.05725237087336432,-8.680194818410586,-0.5664846216427147,-62.35781174122204
50,5,0.05,8,0.5999999999999999,0.07185490780209358,-0.9843473102979802,-0.5662432648557635,-64.56535048643296
50,5,0.05,8,0.6499999999999999,0.05626297246112699,-0.9843473102979802,-0.5726060618577373,-65.08514294940404
50,5,0.05,9,0.35,1.0578850102669497,-23.813837279328702,0.0,0.0
50,5,0.05,9,0.39999999999999997,1.3680991020101847,-24.057572449272605,0.13547156960717488,-1.5553590247364024
50,5,0.05,9,0.44999999999999996,1.161910126664008,-26.911195314357855,0.024387124973121788,-12.889350759066703
