n_estimators,num_leaves,learning_rate,k,threshold,accuracy,precision_1,recall_1,profit_1,max_drawdown_1,precision_0,recall_0,profit_0,max_drawdown_0
50,5,0.05,1,0.35,0.5117009132420092,0.5117009132420092,1.0,0.9114658647078917,-19.641921461834237,0.0,0.0,0.0,0.0
50,5,0.05,1,0.39999999999999997,0.5117009132420092,0.5117009132420092,1.0,0.9114658647078917,-19.641921461834237,0.0,0.0,0.0,0.0
50,5,0.05,1,0.44999999999999996,0.5229261796042618,0.5212716222533894,0.8291503997025469,0.554301535583231,-16.205475692337046,0.5301635991820041,0.20202610559127215,-0.20309364056567136,-24.617640853722673
50,5,0.05,1,0.49999999999999994,0.5339611872146118,0.5417681865645666,0.5787321063394683,0.5947766726320536,-11.905295784376657,0.5245488879563576,0.48704461328657705,-0.1963244749834051,-22.63533105452229
50,5,0.05,1,0.5499999999999999,0.5038051750380518,0.5512256442489001,0.16304145751998514,-0.07122455844100539,-16.960045136425798,0.49534805515076785,0.8609000584453536,-0.5466970804789704,-58.33977740160435
50,5,0.05,1,0.5999999999999999,0.4882990867579909,0.0,0.0,0.0,0.0,0.4882990867579909,1.0,-0.5228736948757967,-55.404133957159225
50,5,0.05,1,0.6499999999999999,0.4882990867579909,0.0,0.0,0.0,0.0,0.4882990867579909,1.0,-0.5228736948757967,-55.404133957159225
50,5,0.05,2,0.35,0.5117009132420092,0.5117009132420092,1.0,0.9114658647078917,-19.641921461834237,0.0,0.0,0.0,0.0
50,5,0.05,2,0.39999999999999997,0.5118911719939118,0.5118728456530065,0.9938650306748467,0.850037296855656,-19.675648933613374,0.5147058823529411,0.006818624586012079,-0.03292261071528835,-5.730318926677469
50,5,0.05,2,0.44999999999999996,0.523972602739726,0.5217441725617534,0.83640081799591,0.573849104553998,-16.588075872197656,0.5341450502911593,0.1965712059224625,-0.19228942543288086,-24.14764069289055
50,5,0.05,2,0.49999999999999994,0.524923896499239,0.5339805825242718,0.5623721881390593,0.26671933542968107,-11.836025830890321,0.5143387662471632,0.4856808883693746,-0.3625675829799616,-39.978895614077125
50,5,0.05,2,0.5499999999999999,0.5052321156773212,0.5553482587064676,0.16601598810187768,-0.024736827013596696,-14.31423785954359,0.49618149146451035,0.860705240600039,-0.5238861612963599,-56.40080532118049
50,5,0.05,2,0.5999999999999999,0.4882990867579909,0.0,0.0,0.0,0.0,0.4882990867579909,1.0,-0.5228736948757967,-55.404133957159225
50,5,0.05,2,0.6499999999999999,0.4882990867579909,0.0,0.0,0.0,0.0,0.4882990867579909,1.0,-0.5228736948757967,-55.404133957159225
50,5,0.05,3,0.35,0.5117009132420092,0.5117009132420092,1.0,0.9114658647078917,-19.641921461834237,0.0,0.0,0.0,0.0
50,5,0.05,3,0.39999999999999997,0.5133181126331812,0.5126454466775652,0.9910764082543224,0.8722212776622276,-19.402359731464703,0.5752212389380531,0.012663159945451004,-0.021800884569984857,-5.059100408376939
50,5,0.05,3,0.44999999999999996,0.5237823439878234,0.5218973817071739,0.8263617772820226,0.5719766489150211,-15.697840058492426,0.5318295739348371,0.2067017338788233,-0.1941581409458406,-23.7909897767118
50,5,0.05,3,0.49999999999999994,0.524923896499239,0.5341493702323931,0.5597694738799033,0.2876494437573054,-12.191589012850503,0.5142564102564102,0.4884083382037795,-0.3521889474180976,-39.0016356696359
50,5,0.05,3,0.5499999999999999,0.5046613394216134,0.5533498759305211,0.16583007994050938,-0.026809855958842665,-13.505608188000872,0.4958426966292135,0.8597311513734658,-0.5249645855693055,-56.32679693959041
50,5,0.05,3,0.5999999999999999,0.4882990867579909,0.0,0.0,0.0,0.0,0.4882990867579909,1.0,-0.5228736948757967,-55.404133957159225
50,5,0.05,3,0.6499999999999999,0.4882990867579909,0.0,0.0,0.0,0.0,0.4882990867579909,1.0,-0.5228736948757967,-55.404133957159225
50,5,0.05,4,0.35,0.5117009132420092,0.5117009132420092,1.0,0.9114658647078917,-19.641921461834237,0.0,0.0,0.0,0.0
50,5,0.05,4,0.39999999999999997,0.5131278538812786,0.512561362980075,0.9899609592861126,0.8898752069758542,-18.96604361572437,0.5609756097560976,0.013442431326709527,-0.0129772771690575,-4.445042782592537
50,5,0.05,4,0.44999999999999996,0.5228310502283106,0.5204691552949138,0.8579661647146309,0.6435500155687812,-17.560746421731537,0.5355623100303951,0.17163452172218976,-0.15537452586021883,-17.28295730740563
50,5,0.05,4,0.49999999999999994,0.526255707762557,0.5359653866955111,0.5527049637479086,0.3132697943366429,-12.204686820937145,0.5154078549848943,0.49853886616014026,-0.33957838351133707,-38.46258522231073
50,5,0.05,4,0.5499999999999999,0.5028538812785388,0.5624489795918367,0.12809072318274772,0.01195516385311457,-13.063044158853865,0.4949930009690966,0.8955776349113579,-0.5074243878267897,-54.304377505114054
50,5,0.05,4,0.5999999999999999,0.4901065449010654,0.7567567567567568,0.005205428518311954,0.03738824541042751,-2.8366647239774525,0.48916467780429596,0.9982466393921683,-0.504593030716624,-54.527729294521016
50,5,0.05,4,0.6499999999999999,0.4882990867579909,0.0,0.0,0.0,0.0,0.4882990867579909,1.0,-0.5228736948757967,-55.404133957159225
50,5,0.05,5,0.35,0.5117009132420092,0.5117009132420092,1.0,0.9114658647078917,-19.641921461834237,0.0,0.0,0.0,0.0
50,5,0.05,5,0.39999999999999997,0.513603500761035,0.5128007699711261,0.9905186837702176,0.9207934299077547,-19.044948980177487,0.5819672131147541,0.013832067017338788,0.003510982042662203,-2.386283015481692
50,5,0.05,5,0.44999999999999996,0.5212138508371386,0.5199492619926199,0.8382598996095929,0.5972692972654317,-16.408025717967494,0.5271739130434783,0.1889733099551919,-0.1802820323857568,-20.954154487276924
50,5,0.05,5,0.49999999999999994,0.5270167427701674,0.5372369624885636,0.545826361777282,0.31486709467944696,-12.197227065566887,0.5159500693481276,0.5073056691992986,-0.339205308629832,-38.54240552893077
50,5,0.05,5,0.5499999999999999,0.5017123287671232,0.5620052770448549,0.11879531511433351,0.013337916689735607,-13.789812730422844,0.4944,0.9029807130333138,-0.5069360104730465,-54.339995422300674
50,5,0.05,5,0.5999999999999999,0.4882990867579909,0.5,0.0005577244841048522,-0.010913878560648738,-1.0913878560648738,0.4882924043403769,0.9994155464640561,-0.5280268475235333,-55.885786933967864
50,5,0.05,5,0.6499999999999999,0.4882990867579909,0.0,0.0,0.0,0.0,0.4882990867579909,1.0,-0.5228736948757967,-55.404133957159225
50,5,0.05,6,0.35,0.5117009132420092,0.5117009132420092,1.0,0.9114658647078917,-19.641921461834237,0.0,0.0,0.0,0.0
50,5,0.05,6,0.39999999999999997,0.5128424657534246,0.5124157844080847,0.9897750511247444,0.8588963165081835,-18.644542071415177,0.5491803278688525,0.013052795636080266,-0.029107853670048867,-4.78392609082232
50,5,0.05,6,0.44999999999999996,0.5205479452054794,0.5193780724819939,0.8445807770961146,0.6073976055192083,-15.490369770700246,0.5263456090651558,0.18098577829729204,-0.1747279356454018,-20.246894896419768
50,5,0.05,6,0.49999999999999994,0.5273972602739726,0.5379922351636162,0.5409927495817066,0.277211058968835,-12.692936859510223,0.5161669606114051,0.5131502045587376,-0.358570303897518,-39.00043458499471
50,5,0.05,6,0.5499999999999999,0.4997146118721461,0.5572519083969466,0.1085703662390779,0.011312295058591548,-14.943879125633856,0.4933431952662722,0.9096045197740112,-0.5081025214763563,-54.44594469472751
50,5,0.05,6,0.5999999999999999,0.4882990867579909,0.0,0.0,0.0,0.0,0.4882990867579909,1.0,-0.5228736948757967,-55.404133957159225
50,5,0.05,6,0.6499999999999999,0.4882990867579909,0.0,0.0,0.0,0.0,0.4882990867579909,1.0,-0.5228736948757967,-55.404133957159225
50,5,0.05,7,0.35,0.5117009132420092,0.5117009132420092,1.0,0.9114658647078917,-19.641921461834237,0.0,0.0,0.0,0.0
