n_estimators,num_leaves,learning_rate,k,threshold,profit_1,max_drawdown_1,profit_0,max_drawdown_0
50,5,0.05,1,0.35,-0.04496904067141727,-9.99385250171921,0.0,0.0
50,5,0.05,1,0.39999999999999997,-0.04496904067141727,-9.99385250171921,0.0,0.0
50,5,0.05,1,0.44999999999999996,-0.061163196696549016,-10.603314317732023,-0.018807301164850965,-5.014875186085591
50,5,0.05,1,0.49999999999999994,-0.043787178647418434,-9.29883408978325,-0.0023098258692417772,-6.035600162672663
50,5,0.05,1,0.5499999999999999,0.024508892089326606,-4.444495663954399,0.06588221750319923,-6.604164174480491
50,5,0.05,1,0.5999999999999999,0.0,0.0,0.03846934321331119,-7.934154773040238
50,5,0.05,1,0.6499999999999999,0.0,0.0,0.03846934321331119,-7.934154773040238
50,5,0.05,2,0.35,-0.04496904067141727,-9.99385250171921,0.0,0.0
50,5,0.05,2,0.39999999999999997,-0.04496904067141727,-9.99385250171921,0.0,0.0
50,5,0.05,2,0.44999999999999996,-0.061163196696549016,-10.603314317732023,-0.018807301164850965,-5.014875186085591
50,5,0.05,2,0.49999999999999994,-0.043787178647418434,-9.29883408978325,-0.0023098258692417772,-6.035600162672663
50,5,0.05,2,0.5499999999999999,0.024508892089326606,-4.444495663954399,0.06588221750319923,-6.604164174480491
50,5,0.05,2,0.5999999999999999,0.0,0.0,0.03846934321331119,-7.934154773040238
50,5,0.05,2,0.6499999999999999,0.0,0.0,0.03846934321331119,-7.934154773040238
50,5,0.05,3,0.35,-0.04496904067141727,-9.99385250171921,0.0,0.0
50,5,0.05,3,0.39999999999999997,-0.04496904067141727,-9.99385250171921,0.0,0.0
50,5,0.05,3,0.44999999999999996,-0.05263059210565424,-10.741188136088732,-0.009947760064275446,-4.745037397817479
50,5,0.05,3,0.49999999999999994,-0.05383792119902542,-9.812947998701558,-0.012841328508777172,-6.098825993531247
50,5,0.05,3,0.5499999999999999,0.025730696154834476,-4.360024359597714,0.06715110136851354,-6.299917711951894
50,5,0.05,3,0.5999999999999999,0.0,0.0,0.03846934321331119,-7.934154773040238
50,5,0.05,3,0.6499999999999999,0.0,0.0,0.03846934321331119,-7.934154773040238
50,5,0.05,4,0.35,-0.053353810559416015,-11.378158492278205,-0.008874022158858352,-1.5746558793392296
50,5,0.05,4,0.39999999999999997,-0.0582042554648613,-11.252498693127572,-0.013979569047405938,-1.8586157620727048
50,5,0.05,4,0.44999999999999996,-0.07453477204827808,-11.913707826071533,-0.033054309559838346,-5.9173659979221505
50,5,0.05,4,0.49999999999999994,-0.04198867888205271,-11.002077463159022,0.00016391554651384865,-5.586651378488281
50,5,0.05,4,0.5499999999999999,0.029327967959654755,-4.488294493127385,0.07100568626271975,-5.89818681229102
50,5,0.05,4,0.5999999999999999,0.0,0.0,0.03846934321331119,-7.934154773040238
50,5,0.05,4,0.6499999999999999,0.0,0.0,0.03846934321331119,-7.934154773040238
50,5,0.05,5,0.35,-0.055623112826970966,-10.646782531152194,-0.011223927913743936,-1.1223927913743936
50,5,0.05,5,0.39999999999999997,-0.0582042554648613,-11.252498693127572,-0.013979569047405938,-1.8586157620727048
50,5,0.05,5,0.44999999999999996,-0.04130348614903834,-11.117812852844573,0.0032203106526411673,-2.2805062197076365
50,5,0.05,5,0.49999999999999994,-0.037597784747395724,-9.139798126459366,0.004353310387681164,-6.583612532013024
50,5,0.05,5,0.5499999999999999,0.030638346792567495,-4.627480341459007,0.07245765021724537,-6.263302804294481
50,5,0.05,5,0.5999999999999999,0.0023784457910343004,-0.6206286128315495,0.04106883296730324,-7.931358788893444
50,5,0.05,5,0.6499999999999999,0.0,0.0,0.03846934321331119,-7.934154773040238
50,5,0.05,6,0.35,-0.048722275384237346,-9.993852501719163,-0.003945466834449851,-0.3945466834449851
50,5,0.05,6,0.39999999999999997,-0.05599556590818322,-11.252498693127391,-0.011661728441819785,-1.627914573401253
50,5,0.05,6,0.44999999999999996,-0.028800279940544238,-10.488281297177119,0.016419026005193738,-1.7618157725586778
50,5,0.05,6,0.49999999999999994,-0.050071891012537506,-9.388536480601353,-0.00848202966190903,-6.644259115566553
50,5,0.05,6,0.5499999999999999,0.03452834771240765,-4.4528944047233985,0.07605823307368453,-7.439161995351561
50,5,0.05,6,0.5999999999999999,-0.014605472809527176,-4.025619925486307,0.024044817715412226,-7.549543314881193
50,5,0.05,6,0.6499999999999999,0.001172799893784049,0.0,0.039688689998511384,-7.934154773040238
50,5,0.05,7,0.35,-0.055623112826970966,-10.646782531152194,-0.011223927913743936,-1.1223927913743936
50,5,0.05,7,0.39999999999999997,-0.0582042554648613,-11.252498693127572,-0.013979569047405938,-1.8586157620727048
50,5,0.05,7,0.44999999999999996,-0.06741505087063926,-11.793282388331093,-0.025152125634771205,-5.061067857013478
50,5,0.05,7,0.49999999999999994,-0.05015289320079597,-9.24102111215474,-0.00862880289028356,-6.6255075009116595
50,5,0.05,7,0.5499999999999999,0.016817986491732606,-4.162081160540728,0.05748383402130397,-7.592361547804028
50,5,0.05,7,0.5999999999999999,-0.014605472809527176,-4.025619925486307,0.024044817715412226,-7.549543314881193
50,5,0.05,7,0.6499999999999999,0.0,0.0,0.03846934321331119,-7.934154773040238
50,5,0.05,8,0.35,-0.04496904067141727,-9.99385250171921,0.0,0.0
50,5,0.05,8,0.39999999999999997,-0.04356855584059549,-10.395414857696876,0.0012303809272735666,-1.4027768295010936
50,5,0.05,8,0.44999999999999996,-0.026033993171496128,-10.70181884558836,0.019187903899856584,-1.8655870483702748
