n_estimators,num_leaves,learning_rate,k,threshold,accuracy,precision_1,recall_1,profit_1,max_drawdown_1,precision_0,recall_0,profit_0,max_drawdown_0
50,5,0.05,1,0.35,0.5,0.5,1.0,-0.04496904067141727,-9.99385250171921,0.0,0.0,0.0,0.0
50,5,0.05,1,0.39999999999999997,0.5,0.5,1.0,-0.04496904067141727,-9.99385250171921,0.0,0.0,0.0,0.0
50,5,0.05,1,0.44999999999999996,0.5289193302891934,0.5166374781085814,0.898021308980213,0.007435348557418564,-9.41490607269656,0.6104651162790697,0.1598173515981735,0.05375256734978362,-2.839479100363145
50,5,0.05,1,0.49999999999999994,0.5403348554033486,0.5455326460481099,0.4832572298325723,-0.010527363137587176,-8.94098102434771,0.5362021857923497,0.5974124809741248,0.03218831632660679,-4.333467351170325
50,5,0.05,1,0.5499999999999999,0.5308219178082192,0.5546558704453441,0.3127853881278539,0.0011118532899139222,-9.148269339721482,0.5214626391096979,0.7488584474885844,0.043430554220346584,-5.131440416004072
50,5,0.05,1,0.5999999999999999,0.5049467275494672,0.5730337078651685,0.03881278538812785,-0.013503049298864478,-3.767142273083335,0.5025600630169358,0.9710806697108066,0.025293748578217867,-7.630977419592442
50,5,0.05,1,0.6499999999999999,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.03846934321331119,-7.934154773040238
50,5,0.05,2,0.35,0.5,0.5,1.0,-0.04496904067141727,-9.99385250171921,0.0,0.0,0.0,0.0
50,5,0.05,2,0.39999999999999997,0.5,0.5,1.0,-0.04496904067141727,-9.99385250171921,0.0,0.0,0.0,0.0
50,5,0.05,2,0.44999999999999996,0.5213089802130898,0.5117154811715481,0.9307458143074582,-0.0266808082255241,-9.99249687964532,0.6176470588235294,0.11187214611872145,0.01843163231736744,-2.8643933476328685
50,5,0.05,2,0.49999999999999994,0.534627092846271,0.5357423409269442,0.5190258751902588,0.0030699322345868474,-8.182385910933471,0.5335793357933579,0.5502283105022832,0.046686025644009144,-4.267705224812925
50,5,0.05,2,0.5499999999999999,0.5182648401826484,0.5461538461538461,0.2161339421613394,-0.03374787171269433,-8.393765497467319,0.5113851992409867,0.8203957382039574,0.006363091058556147,-5.507369337170924
50,5,0.05,2,0.5999999999999999,0.5095129375951294,0.6373626373626373,0.0441400304414003,0.020991728210566052,-3.658274498543738,0.504927079227434,0.9748858447488584,0.061220484729255675,-7.424716179212962
50,5,0.05,2,0.6499999999999999,0.5034246575342466,0.9090909090909091,0.0076103500761035,0.022712348892050427,-0.13858573259882068,0.5017195261750096,0.9992389649923896,0.06215498338862058,-7.934154773040238
50,5,0.05,3,0.35,0.5,0.5,1.0,-0.04496904067141727,-9.99385250171921,0.0,0.0,0.0,0.0
50,5,0.05,3,0.39999999999999997,0.5007610350076104,0.5003831417624521,0.9939117199391172,-0.045889279065807975,-9.981264760808255,0.5555555555555556,0.0076103500761035,-0.0009929632872687222,-0.4435038679962105
50,5,0.05,3,0.44999999999999996,0.5228310502283106,0.5127986348122867,0.9147640791476408,-0.012214755026213497,-9.777434503676615,0.6056338028169014,0.1308980213089802,0.03339900410636765,-3.098996570939347
50,5,0.05,3,0.49999999999999994,0.5380517503805176,0.5388802488335925,0.5273972602739726,0.028222323432291585,-8.388247251433286,0.53725782414307,0.5487062404870624,0.07320666213121951,-4.247806508947598
50,5,0.05,3,0.5499999999999999,0.5213089802130898,0.549645390070922,0.2359208523592085,-0.015386399804411477,-8.594603028070017,0.5135658914728682,0.806697108066971,0.025668326664917807,-4.88518529528402
50,5,0.05,3,0.5999999999999999,0.5079908675799086,0.6105263157894737,0.0441400304414003,0.0055767780197877315,-5.056202897613815,0.5041452822739834,0.971841704718417,0.04525431225038723,-9.068432514117355
50,5,0.05,3,0.6499999999999999,0.5007610350076104,1.0,0.0015220700152207,0.005649246766714855,0.0,0.5003808073115004,1.0,0.04435436819724581,-7.934154773040238
50,5,0.05,4,0.35,0.5,0.5,1.0,-0.04496904067141727,-9.99385250171921,0.0,0.0,0.0,0.0
50,5,0.05,4,0.39999999999999997,0.5011415525114156,0.5005723006486074,0.9984779299847792,-0.045762842392557346,-9.896891567189419,0.7142857142857143,0.00380517503805175,-0.0008432286630892794,-0.41792973840116676
50,5,0.05,4,0.44999999999999996,0.5235920852359208,0.5132252559726962,0.9155251141552512,-0.016557188732831962,-9.777434503676615,0.6091549295774648,0.13165905631659056,0.02891730817022986,-3.098996570939347
50,5,0.05,4,0.49999999999999994,0.5361491628614916,0.5373721479150275,0.5197869101978692,0.011309455638922161,-9.205510166520964,0.5350036845983788,0.5525114155251142,0.05554725445566855,-4.640677023450241
50,5,0.05,4,0.5499999999999999,0.5205479452054794,0.5483870967741935,0.2328767123287671,-0.010568166259220302,-8.356314184590566,0.5130434782608696,0.8082191780821918,0.03071521042247438,-5.0123662403514775
50,5,0.05,4,0.5999999999999999,0.506468797564688,0.6049382716049383,0.03729071537290715,0.002279350006942016,-5.125853834330362,0.503337259521005,0.9756468797564688,0.04184439693835018,-9.135189044831602
50,5,0.05,4,0.6499999999999999,0.5030441400304414,0.8333333333333334,0.0076103500761035,0.02444555562583206,-0.1385857325988264,0.5015290519877675,0.9984779299847792,0.06397318517418005,-7.934154773040238
50,5,0.05,5,0.35,0.5,0.5,1.0,-0.04496904067141727,-9.99385250171921,0.0,0.0,0.0,0.0
50,5,0.05,5,0.39999999999999997,0.5007610350076104,0.5003828483920367,0.9946727549467276,-0.04846158525921618,-9.972724898030762,0.5625,0.00684931506849315,-0.003678848519792055,-0.5832341832932987
